id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2048796,SunnysideGardensOasis,763439,Joel,Queens,Sunnyside,40.74766,-73.91842,Private room,51,30,1,8/12/17,0.02,1,0,0,
2049322,PrivateroominBrooklynLoft,9446761,Paul,Brooklyn,Williamsburg,40.70347,-73.93335,Private room,45,30,0,,,1,0,0,
2050406,BrightHugeBdrminMidtown,10406601,Amaryllis,Manhattan,Midtown,40.75415,-73.9731,Entire home/apt,250,30,0,,,1,0,0,
2106706,LargeBrightRoomEastVillageApt,1534243,Seth,Manhattan,East Village,40.72859,-73.98957,Private room,120,30,0,,,1,0,0,
2050993,NohoEastVillLuxBldgwGymPool,4836650,Kris,Manhattan,East Village,40.72627,-73.99147,Entire home/apt,350,30,1,9/7/14,0.01,1,0,0,
2051013,CozyandPeacefulStudioApt,10511044,Maristela,Queens,Astoria,40.76689,-73.91958,Entire home/apt,78,30,25,2/22/20,0.3,1,0,0,
2191591,storyHomeinNYCuppereastside,11176329,Jan,Manhattan,Upper East Side,40.78216,-73.94821,Entire home/apt,675,30,3,9/9/14,0.03,1,0,0,
2107696,BEDAPTROOFTOPGYMiinWILLIAMSBURGBestPrice,9265204,Gianni,Brooklyn,Williamsburg,40.70585,-73.94838,Entire home/apt,255,4,37,5/16/22,0.36,2,166,17,
2194038,TwoBedroomFlat,11189753,Sj,Brooklyn,Fort Greene,40.68541,-73.97134,Entire home/apt,345,14,33,5/30/22,0.34,4,137,6,
2055467,GreatLocationonStMarksPlace,10526877,Steven,Manhattan,East Village,40.72852,-73.98705,Entire home/apt,150,30,0,,,1,0,0,
2055559,twinbedinownspace,10527201,Bryan,Brooklyn,Greenpoint,40.73673,-73.95655,Shared room,90,30,0,,,1,0,0,
2057295,JuniorBRinWestVillage,10534508,Amanda,Manhattan,West Village,40.73225,-74.00268,Entire home/apt,150,45,21,1/2/18,0.21,1,0,0,
2057403,SpaciousUpperWestsidebedroomapartment,10535116,Connie,Manhattan,Upper West Side,40.79065,-73.97105,Entire home/apt,199,30,8,1/1/19,0.08,1,0,0,
